concept_index,concept_name,avg_abs_change_original_class_prob,avg_abs_change_max_class_prob,label_change_percent,influence_rank
0,is_footwear,0.039878436279296874,0.03628533325195313,25.46,1
4,has_collar,0.03941605224609375,0.030213134765625,72.28,2
7,is_legwear_or_footwear,0.03608551025390625,0.0330910888671875,50.73,3
1,is_closed_footwear,0.029840811157226563,0.026527114868164062,56.09,4
2,is_footwear_or_bag,0.02891290283203125,0.02723126220703125,40.73,5
5,is_long_garment,0.02689931640625,0.023440309143066405,41.46,6
6,is_outerwear_layer,0.026387576293945312,0.0269529296875,38.19,7
3,has_sleeves,0.018334765625,0.012097801208496094,22.72,8
