concept_index,concept_name,avg_abs_change_original_class_prob,avg_abs_change_max_class_prob,label_change_percent,influence_rank
4,has_collar,0.011265218353271484,0.010998594665527344,1.41,1
3,has_sleeves,0.010439445495605468,0.010273611450195312,1.15,2
6,is_outerwear_layer,0.009122123718261719,0.009027391052246094,0.93,3
2,is_footwear_or_bag,0.008428602600097656,0.008294762420654297,1.04,4
5,is_long_garment,0.008302603912353516,0.008138829040527344,1.0,5
1,is_closed_footwear,0.007935963439941407,0.007831346130371094,0.83,6
7,is_legwear_or_footwear,0.006987081909179687,0.006888426971435547,0.78,7
0,is_footwear,0.006174776077270508,0.006108505630493164,0.77,8
