side_dropout,accuracy,auroc_ovr,macro_concept_accuracy,macro_concept_f1,epochs_trained,best_val_loss
0.0,0.8522,0.9855706222222222,0.9597249999999999,0.9026718210392595,3,0.5047685683568318
0.1,0.8518,0.9854440944444445,0.9596875,0.9024362138250914,3,0.506056182384491
0.3,0.8474,0.9849520444444444,0.9596875,0.9019526518993446,3,0.5140640288988749
0.5,0.8438,0.9843632111111111,0.9600124999999999,0.9018644823903428,3,0.522931201616923
0.7,0.8397,0.9833798055555556,0.95995,0.9015095710628169,3,0.537935528755188
0.9,0.8118,0.9786513666666667,0.9609624999999999,0.9020319206517925,3,0.6099942973454793
