source_file,intervention_run,model,model_label,checkpoint_path,checkpoint_seed,checkpoint_epochs,checkpoint_batch_size,checkpoint_lr,lambda_concept,side_dropout,evaluation_seed,evaluation_batch_size,threshold,ranking_metric,concept_index,concept_name,avg_abs_change_original_class_prob,avg_abs_change_max_class_prob,label_change_percent,influence_rank
cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0_interventions.json,cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0_interventions,cbm_joint,Joint CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0.pt,42,1,512,0.001,1.0,,42,2048,0.5,avg_abs_change_original_class_prob,1,is_closed_footwear,0.029840811157226563,0.026527114868164062,56.09,4
cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0_interventions.json,cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0_interventions,cbm_joint,Joint CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0.pt,42,1,512,0.001,1.0,,42,2048,0.5,avg_abs_change_original_class_prob,2,is_footwear_or_bag,0.02891290283203125,0.02723126220703125,40.73,5
cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0_interventions.json,cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0_interventions,cbm_joint,Joint CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0.pt,42,1,512,0.001,1.0,,42,2048,0.5,avg_abs_change_original_class_prob,5,is_long_garment,0.02689931640625,0.023440309143066405,41.46,6
cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0_interventions.json,cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0_interventions,cbm_joint,Joint CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0.pt,42,1,512,0.001,1.0,,42,2048,0.5,avg_abs_change_original_class_prob,6,is_outerwear_layer,0.026387576293945312,0.0269529296875,38.19,7
cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0_interventions.json,cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0_interventions,cbm_joint,Joint CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0.pt,42,1,512,0.001,1.0,,42,2048,0.5,avg_abs_change_original_class_prob,3,has_sleeves,0.018334765625,0.012097801208496094,22.72,8
hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3_interventions.json,hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3_interventions,hybrid,Hybrid CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.pt,42,1,512,0.001,1.0,0.3,42,2048,0.5,avg_abs_change_original_class_prob,4,has_collar,0.011265218353271484,0.010998594665527344,1.41,1
hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3_interventions.json,hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3_interventions,hybrid,Hybrid CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.pt,42,1,512,0.001,1.0,0.3,42,2048,0.5,avg_abs_change_original_class_prob,3,has_sleeves,0.010439445495605468,0.010273611450195312,1.15,2
hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3_interventions.json,hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3_interventions,hybrid,Hybrid CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.pt,42,1,512,0.001,1.0,0.3,42,2048,0.5,avg_abs_change_original_class_prob,6,is_outerwear_layer,0.009122123718261719,0.009027391052246094,0.93,3
hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3_interventions.json,hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3_interventions,hybrid,Hybrid CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.pt,42,1,512,0.001,1.0,0.3,42,2048,0.5,avg_abs_change_original_class_prob,2,is_footwear_or_bag,0.008428602600097656,0.008294762420654297,1.04,4
hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3_interventions.json,hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3_interventions,hybrid,Hybrid CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.pt,42,1,512,0.001,1.0,0.3,42,2048,0.5,avg_abs_change_original_class_prob,5,is_long_garment,0.008302603912353516,0.008138829040527344,1.0,5
hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3_interventions.json,hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3_interventions,hybrid,Hybrid CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.pt,42,1,512,0.001,1.0,0.3,42,2048,0.5,avg_abs_change_original_class_prob,1,is_closed_footwear,0.007935963439941407,0.007831346130371094,0.83,6
hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3_interventions.json,hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3_interventions,hybrid,Hybrid CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.pt,42,1,512,0.001,1.0,0.3,42,2048,0.5,avg_abs_change_original_class_prob,7,is_legwear_or_footwear,0.006987081909179687,0.006888426971435547,0.78,7
hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3_interventions.json,hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3_interventions,hybrid,Hybrid CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.pt,42,1,512,0.001,1.0,0.3,42,2048,0.5,avg_abs_change_original_class_prob,0,is_footwear,0.006174776077270508,0.006108505630493164,0.77,8
smoke_hybrid_interventions.json,smoke_hybrid_interventions,hybrid,Hybrid CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.pt,42,1,512,0.001,1.0,0.3,42,2048,0.5,avg_abs_change_original_class_prob,4,has_collar,0.011265218353271484,0.010998594665527344,1.41,1
smoke_hybrid_interventions.json,smoke_hybrid_interventions,hybrid,Hybrid CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.pt,42,1,512,0.001,1.0,0.3,42,2048,0.5,avg_abs_change_original_class_prob,3,has_sleeves,0.010439445495605468,0.010273611450195312,1.15,2
smoke_hybrid_interventions.json,smoke_hybrid_interventions,hybrid,Hybrid CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.pt,42,1,512,0.001,1.0,0.3,42,2048,0.5,avg_abs_change_original_class_prob,6,is_outerwear_layer,0.009122123718261719,0.009027391052246094,0.93,3
smoke_hybrid_interventions.json,smoke_hybrid_interventions,hybrid,Hybrid CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.pt,42,1,512,0.001,1.0,0.3,42,2048,0.5,avg_abs_change_original_class_prob,2,is_footwear_or_bag,0.008428602600097656,0.008294762420654297,1.04,4
smoke_hybrid_interventions.json,smoke_hybrid_interventions,hybrid,Hybrid CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.pt,42,1,512,0.001,1.0,0.3,42,2048,0.5,avg_abs_change_original_class_prob,5,is_long_garment,0.008302603912353516,0.008138829040527344,1.0,5
smoke_hybrid_interventions.json,smoke_hybrid_interventions,hybrid,Hybrid CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.pt,42,1,512,0.001,1.0,0.3,42,2048,0.5,avg_abs_change_original_class_prob,1,is_closed_footwear,0.007935963439941407,0.007831346130371094,0.83,6
smoke_hybrid_interventions.json,smoke_hybrid_interventions,hybrid,Hybrid CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.pt,42,1,512,0.001,1.0,0.3,42,2048,0.5,avg_abs_change_original_class_prob,7,is_legwear_or_footwear,0.006987081909179687,0.006888426971435547,0.78,7
smoke_hybrid_interventions.json,smoke_hybrid_interventions,hybrid,Hybrid CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/hybrid_seed42_epochs1_bs512_lr0_001_lambda1_0_side0_3.pt,42,1,512,0.001,1.0,0.3,42,2048,0.5,avg_abs_change_original_class_prob,0,is_footwear,0.006174776077270508,0.006108505630493164,0.77,8
smoke_joint_interventions.json,smoke_joint_interventions,cbm_joint,Joint CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0.pt,42,1,512,0.001,1.0,,42,2048,0.5,avg_abs_change_original_class_prob,0,is_footwear,0.039878436279296874,0.03628533325195313,25.46,1
smoke_joint_interventions.json,smoke_joint_interventions,cbm_joint,Joint CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0.pt,42,1,512,0.001,1.0,,42,2048,0.5,avg_abs_change_original_class_prob,4,has_collar,0.03941605224609375,0.030213134765625,72.28,2
smoke_joint_interventions.json,smoke_joint_interventions,cbm_joint,Joint CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0.pt,42,1,512,0.001,1.0,,42,2048,0.5,avg_abs_change_original_class_prob,7,is_legwear_or_footwear,0.03608551025390625,0.0330910888671875,50.73,3
smoke_joint_interventions.json,smoke_joint_interventions,cbm_joint,Joint CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0.pt,42,1,512,0.001,1.0,,42,2048,0.5,avg_abs_change_original_class_prob,1,is_closed_footwear,0.029840811157226563,0.026527114868164062,56.09,4
smoke_joint_interventions.json,smoke_joint_interventions,cbm_joint,Joint CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0.pt,42,1,512,0.001,1.0,,42,2048,0.5,avg_abs_change_original_class_prob,2,is_footwear_or_bag,0.02891290283203125,0.02723126220703125,40.73,5
smoke_joint_interventions.json,smoke_joint_interventions,cbm_joint,Joint CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0.pt,42,1,512,0.001,1.0,,42,2048,0.5,avg_abs_change_original_class_prob,5,is_long_garment,0.02689931640625,0.023440309143066405,41.46,6
smoke_joint_interventions.json,smoke_joint_interventions,cbm_joint,Joint CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0.pt,42,1,512,0.001,1.0,,42,2048,0.5,avg_abs_change_original_class_prob,6,is_outerwear_layer,0.026387576293945312,0.0269529296875,38.19,7
smoke_joint_interventions.json,smoke_joint_interventions,cbm_joint,Joint CBM,/Users/valbu/Desktop/Master/IV semicuatri/Deep Learning/Project/outputs/checkpoints/cbm_joint_seed42_epochs1_bs512_lr0_001_lambda1_0.pt,42,1,512,0.001,1.0,,42,2048,0.5,avg_abs_change_original_class_prob,3,has_sleeves,0.018334765625,0.012097801208496094,22.72,8
